Tratamiento	days	variable_de_respuesta	valor
1	Control	7	g_N_per_kg_soil	2.03
2	Control	7	pH	5.79
3	Control	7	total_organic_carbon	12.28
4	Control	7	g_N_per_kg_soil	2.14
5	Control	7	pH	6.4
6	Control	7	total_organic_carbon	23
7	Control	7	g_N_per_kg_soil	1.97
8	Control	7	pH	5.62
9	Control	7	total_organic_carbon	19.06
10	Antraceno	7	g_N_per_kg_soil	2.03
11	Antraceno	7	pH	6.24
12	Antraceno	7	total_organic_carbon	22.02
13	Antraceno	7	g_N_per_kg_soil	1.97
14	Antraceno	7	pH	6.06
15	Antraceno	7	total_organic_carbon	14.02
16	Antraceno	7	g_N_per_kg_soil	1.91
17	Antraceno	7	pH	5.96
18	Antraceno	7	total_organic_carbon	15.1
19	Fenantreno	7	g_N_per_kg_soil	1.97
20	Fenantreno	7	pH	5.71
21	Fenantreno	7	total_organic_carbon	17.36
22	Fenantreno	7	g_N_per_kg_soil	1.94
23	Fenantreno	7	pH	5.31
24	Fenantreno	7	total_organic_carbon	20.67
25	Fenantreno	7	g_N_per_kg_soil	2.03
26	Fenantreno	7	pH	5.93
27	Fenantreno	7	total_organic_carbon	22.8
28	Control	14	g_N_per_kg_soil	2.05
29	Control	14	pH	5.55
30	Control	14	total_organic_carbon	21
31	Control	14	g_N_per_kg_soil	2.14
32	Control	14	pH	5.63
33	Control	14	total_organic_carbon	13.15
34	Control	14	g_N_per_kg_soil	2.14
35	Control	14	pH	5.85
36	Control	14	total_organic_carbon	20.87
37	Antraceno	14	g_N_per_kg_soil	2.19
38	Antraceno	14	pH	6.17
39	Antraceno	14	total_organic_carbon	13.54
40	Antraceno	14	g_N_per_kg_soil	1.91
41	Antraceno	14	pH	5.52
42	Antraceno	14	total_organic_carbon	19.79
43	Antraceno	14	g_N_per_kg_soil	1.91
44	Antraceno	14	pH	6.1
45	Antraceno	14	total_organic_carbon	24.42
46	Fenantreno	14	g_N_per_kg_soil	2.03
47	Fenantreno	14	pH	5.48
48	Fenantreno	14	total_organic_carbon	19.26
49	Fenantreno	14	g_N_per_kg_soil	2.05
50	Fenantreno	14	pH	5.45
51	Fenantreno	14	total_organic_carbon	14.16
52	Fenantreno	14	g_N_per_kg_soil	2.03
53	Fenantreno	14	pH	5.47
54	Fenantreno	14	total_organic_carbon	24.89
55	Control	25	g_N_per_kg_soil	1.83
56	Control	25	pH	4.81
57	Control	25	total_organic_carbon	13.35
58	Control	25	g_N_per_kg_soil	1.8
59	Control	25	pH	5.59
60	Control	25	total_organic_carbon	13.6
61	Control	25	g_N_per_kg_soil	1.83
62	Control	25	pH	4.84
63	Control	25	total_organic_carbon	23.55
64	Antraceno	25	g_N_per_kg_soil	1.86
65	Antraceno	25	pH	5.61
66	Antraceno	25	total_organic_carbon	13.68
67	Antraceno	25	g_N_per_kg_soil	2.09
68	Antraceno	25	pH	5.62
69	Antraceno	25	total_organic_carbon	18.76
70	Antraceno	25	g_N_per_kg_soil	1.94
71	Antraceno	25	pH	4.97
72	Antraceno	25	total_organic_carbon	13.61
73	Fenantreno	25	g_N_per_kg_soil	1.89
74	Fenantreno	25	pH	5.07
75	Fenantreno	25	total_organic_carbon	14.95
76	Fenantreno	25	g_N_per_kg_soil	1.97
77	Fenantreno	25	pH	4.83
78	Fenantreno	25	total_organic_carbon	23.58
79	Fenantreno	25	g_N_per_kg_soil	1.97
80	Fenantreno	25	pH	4.94
81	Fenantreno	25	total_organic_carbon	20.08
82	Control	35	g_N_per_kg_soil	1.97
83	Control	35	pH	5.72
84	Control	35	total_organic_carbon	23.69
85	Control	35	g_N_per_kg_soil	1.75
86	Control	35	pH	5.51
87	Control	35	total_organic_carbon	24.33
88	Control	35	g_N_per_kg_soil	1.94
89	Control	35	pH	5.6
90	Control	35	total_organic_carbon	23.01
91	Antraceno	35	g_N_per_kg_soil	1.86
92	Antraceno	35	pH	5.08
93	Antraceno	35	total_organic_carbon	21.98
94	Antraceno	35	g_N_per_kg_soil	1.8
95	Antraceno	35	pH	4.63
96	Antraceno	35	total_organic_carbon	12.73
97	Antraceno	35	g_N_per_kg_soil	1.86
98	Antraceno	35	pH	4.72
99	Antraceno	35	total_organic_carbon	18.42
100	Fenantreno	35	g_N_per_kg_soil	1.83
101	Fenantreno	35	pH	4.79
102	Fenantreno	35	total_organic_carbon	20.71
103	Fenantreno	35	g_N_per_kg_soil	1.91
104	Fenantreno	35	pH	4.79
105	Fenantreno	35	total_organic_carbon	17.62
106	Fenantreno	35	g_N_per_kg_soil	2.03
107	Fenantreno	35	pH	4.78
108	Fenantreno	35	total_organic_carbon	17.62
109	Control	50	g_N_per_kg_soil	1.83
110	Control	50	pH	5.31
111	Control	50	total_organic_carbon	24.07
112	Control	50	g_N_per_kg_soil	1.89
113	Control	50	pH	5.43
114	Control	50	total_organic_carbon	18.37
115	Control	50	g_N_per_kg_soil	1.8
116	Control	50	pH	6.01
117	Control	50	total_organic_carbon	12.4
118	Antraceno	50	g_N_per_kg_soil	1.91
119	Antraceno	50	pH	5.07
120	Antraceno	50	total_organic_carbon	23.58
